"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"TOR","6231","119","93","105","107","111","117","120","101","96","101","101","107","93","99"
"HOU","6073","104","116","98","99","106","108","119","99","98","93","110","106","96","97"
"LAD","6090","116","104","96","101","101","106","109","96","101","95","107","102","102","94"
"SFG","6153","93","95","103","101","99","104","93","103","101","105","93","92","104","105"
"NYY","6268","115","99","98","101","102","103","108","96","99","94","108","109","96","90"
"DET","6159","96","103","106","103","102","103","95","109","110","96","99","95","100","108"
"SEA","6131","101","110","97","98","99","100","103","99","100","100","100","96","102","105"
"TBR","6071","93","109","99","99","98","100","98","101","103","97","103","103","98","97"
"BOS","6237","100","93","104","102","100","99","95","103","98","106","94","94","105","103"
"KCR","6116","81","80","105","101","100","99","91","102","105","100","97","96","104","102"
"NYM","6145","100","105","94","96","98","98","104","94","103","92","109","103","95","102"
"TEX","6187","106","101","101","102","100","98","99","101","93","103","100","103","101","94"
"BAL","6007","90","112","98","96","102","97","109","98","99","97","104","103","98","98"
"PIT","6285","92","106","100","100","97","97","91","103","101","104","93","104","100","94"
"STL","6139","104","104","97","99","96","97","95","99","100","101","98","99","100","101"
"CLE","6109","113","96","100","102","97","97","92","101","104","101","96","100","99","101"
"WSN","6117","111","110","96","99","98","96","101","98","95","104","98","102","97","102"
"CHC","6200","115","123","94","99","97","96","103","100","98","94","109","106","98","94"
"OAK","6171","100","92","98","98","96","95","92","97","96","102","100","97","102","103"
"ARI","6276","98","105","102","100","101","95","100","103","100","104","94","98","101","102"
"LAA","5990","94","97","96","96","96","95","95","94","95","102","101","98","104","98"
"CIN","6196","101","102","95","96","96","91","97","95","100","96","106","99","97","105"
"MIA","5988","79","96","100","96","94","91","83","100","96","114","84","87","107","110"
"SDP","6019","89","111","93","93","94","90","95","96","94","99","106","103","100","95"
"MIN","6017","95","106","96","96","97","89","97","99","99","100","100","102","98","100"
"CHW","6070","87","102","98","96","92","89","83","100","104","109","86","92","105","106"
"MIL","6024","86","108","97","95","96","87","95","99","96","105","96","92","100","112"
"COL","6071","80","106","102","97","105","87","112","102","100","98","103","98","102","101"
"PHI","6053","80","106","95","93","93","86","89","98","104","99","98","100","104","96"
"ATL","6034","98","92","96","97","88","84","72","97","101","108","88","96","101","105"
