"Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO"
"LAD","93","69","3.07","529","162","15","7","40","","","1458.0","6089","1312","565","497","96","500","77","28","48","12","1028"
"PIT","98","64","3.44","515","162","18","9","51","","","1456.2","6046","1411","632","557","117","401","34","30","40","12","919"
"ATL","94","68","3.49","507","162","18","3","48","","","1452.2","6051","1304","644","564","118","481","39","28","66","13","969"
"TOR","91","71","3.50","509","162","10","2","60","","","1462.2","6136","1301","622","569","121","523","41","43","55","8","971"
"NYM","77","84","3.56","475","161","12","4","39","","","1437.1","6030","1403","646","569","108","410","41","25","59","14","1028"
"SDP","84","78","3.58","495","162","14","4","47","","","1452.2","6092","1385","646","578","139","457","56","13","49","13","921"
"MON","71","90","3.64","528","161","12","6","39","","","1440.1","6061","1304","655","583","111","584","42","32","51","9","909"
"STL","84","78","3.69","531","162","9","0","51","","","1435.1","5996","1367","648","588","114","454","52","47","33","7","822"
"CAL","81","81","3.69","472","162","18","3","50","","","1441.2","6059","1351","649","591","141","543","29","38","49","11","990"
"MIN","95","67","3.69","453","162","21","6","53","","","1449.1","6101","1402","652","595","139","488","39","27","57","5","876"
"SEA","83","79","3.79","545","162","10","5","48","","","1464.1","6261","1387","674","617","136","628","50","47","82","7","1003"
"CHW","87","75","3.80","500","162","28","5","40","","","1478.0","6194","1302","681","624","154","601","25","31","44","6","923"
"CIN","74","88","3.83","516","162","7","1","43","","","1440.0","6133","1372","691","613","127","560","41","28","60","9","997"
"PHI","78","84","3.86","483","162","16","6","35","","","1463.0","6332","1346","680","628","111","670","58","43","81","6","988"
"KCR","82","80","3.92","457","162","17","7","41","","","1466.0","6310","1473","722","639","105","529","44","43","47","5","1004"
"HOU","65","97","4.00","527","162","7","3","36","","","1453.0","6255","1347","717","646","129","651","62","29","46","17","1033"
"BOS","84","78","4.02","490","162","15","4","45","","","1439.2","6126","1405","712","643","147","530","59","31","42","4","999"
"SFG","75","87","4.03","496","162","10","6","45","","","1442.0","6132","1397","697","646","143","544","60","36","44","14","905"
"CHC","77","83","4.05","520","160","12","2","40","","","1456.2","6224","1415","734","655","117","542","64","28","48","12","927"
"MIL","83","79","4.18","503","162","23","6","41","","","1463.2","6302","1498","744","679","147","527","31","45","53","5","859"
"CLE","57","105","4.24","451","162","22","3","33","","","1441.1","6231","1551","759","679","110","441","61","39","48","6","862"
"NYY","71","91","4.43","539","162","3","2","37","","","1444.0","6209","1510","777","711","152","506","29","42","53","14","936"
"TEX","85","77","4.47","548","162","9","4","41","","","1479.0","6487","1486","814","735","151","662","37","45","77","12","1022"
"DET","84","78","4.54","488","162","18","4","38","","","1450.1","6343","1570","794","731","148","593","88","24","50","5","739"
"OAK","84","78","4.57","559","162","14","3","49","","","1444.1","6299","1425","776","734","155","655","30","55","60","7","892"
"BAL","67","95","4.59","534","162","8","2","42","","","1457.2","6247","1534","796","743","147","504","40","28","49","8","868"
