"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"BOS","6530","115","92","108","108","115","120","126","104","105","89","110","102","95","102"
"NYY","6431","129","103","101","107","106","115","113","100","95","103","100","100","107","93"
"ATL","6378","95","91","106","102","110","112","118","101","95","100","103","103","102","94"
"STL","6466","99","91","104","103","105","109","108","101","103","96","103","98","101","102"
"TOR","6364","104","108","104","104","106","108","109","106","109","96","98","95","102","107"
"SEA","6281","113","100","101","103","96","104","86","104","99","106","94","88","101","118"
"MIN","6324","98","103","103","102","101","102","96","106","97","110","89","102","98","99"
"CHW","6148","102","95","98","99","104","101","113","95","98","93","110","105","95","96"
"PHI","6333","114","113","97","101","97","100","97","101","105","100","97","96","103","104"
"SFG","6204","106","98","98","99","99","100","99","98","97","97","106","103","103","92"
"TEX","6293","94","106","99","99","106","99","117","97","107","90","108","105","98","93"
"FLA","6186","92","98","99","98","98","99","95","99","101","104","94","98","101","102"
"HOU","6320","98","100","98","99","100","97","104","97","95","97","107","103","97","98"
"PIT","6315","93","103","100","99","98","97","94","101","99","100","101","101","99","100"
"ANA","6119","94","87","100","99","96","96","90","99","101","97","103","98","102","102"
"KCR","6239","92","95","102","101","100","95","95","102","101","103","96","99","102","99"
"SDP","6246","100","107","97","98","90","95","78","101","104","103","94","95","101","108"
"OAK","6189","109","92","95","98","97","95","101","93","95","99","105","99","103","99"
"BAL","6241","84","92","100","97","95","94","86","100","103","100","98","103","97","99"
"MIL","6270","97","121","95","97","97","93","100","99","94","104","99","94","106","103"
"CHC","6187","88","116","97","95","97","91","97","100","102","101","98","101","97","101"
"COL","6283","109","112","99","101","103","90","110","101","102","101","98","98","102","102"
"CLE","6188","91","109","95","95","94","90","92","97","99","103","98","101","99","99"
"TBD","6212","82","106","99","96","94","90","86","102","93","109","93","99","103","99"
"ARI","6261","94","100","98","97","97","86","94","99","103","103","94","99","103","98"
"MON","6116","95","100","96","96","93","85","88","97","96","110","90","93","106","104"
"CIN","6211","94","132","91","93","92","84","92","97","102","97","102","97","99","106"
"NYM","6007","90","107","92","92","87","80","79","95","95","106","96","99","96","106"
"DET","6071","88","115","90","90","88","80","84","92","96","105","97","102","100","97"
"LAD","6036","75","101","91","89","85","78","77","92","96","106","95","99","97","105"
