"Team","IP","K/9+","BB/9+","K/BB+","HR/9+","K%+","BB%+","AVG+","WHIP+","BABIP+","LOB%+","ERA-","FIP-","xFIP-","LD%+","GB%+","FB%+"
"MON","1036.2","110","77","142","90","113","79","93","88","95","103","83","88","","","",""
"ATL","1026.1","119","102","117","69","122","104","91","92","97","101","84","82","","","",""
"CHW","1011.1","110","89","123","91","114","92","92","90","94","104","86","92","","","",""
"KCR","1031.2","103","91","113","74","105","93","95","93","98","101","87","89","","","",""
"BAL","997.2","99","84","117","105","102","87","97","92","95","107","89","97","","","",""
"CIN","1038.1","109","90","120","106","111","92","98","96","100","104","90","95","","","",""
"CLE","1018.2","97","95","101","74","97","95","101","100","103","101","91","92","","","",""
"PHI","1024.1","97","102","95","90","96","101","98","99","97","102","91","99","","","",""
"NYY","1019.2","95","94","102","94","97","95","98","96","97","104","92","97","","","",""
"MIL","1036.0","82","97","85","98","84","99","99","98","95","101","95","105","","","",""
"TOR","1025.0","120","113","107","99","119","112","98","102","102","103","97","96","","","",""
"SFG","1025.1","90","100","90","112","92","102","98","98","95","104","98","108","","","",""
"SDP","1045.2","117","104","112","89","117","104","95","97","99","98","98","89","","","",""
"BOS","1029.1","105","105","100","94","104","104","101","102","103","98","99","98","","","",""
"HOU","1029.2","102","99","103","93","102","99","100","99","101","102","100","101","","","",""
"NYM","1023.0","89","90","99","107","89","90","102","99","99","100","102","104","","","",""
"SEA","984.0","115","118","96","89","112","116","101","106","105","97","104","97","","","",""
"OAK","1003.1","108","122","89","102","108","121","94","101","95","101","105","106","","","",""
"CHC","1023.2","99","106","93","110","99","106","101","102","100","99","106","103","","","",""
"LAD","1014.0","102","97","106","83","102","97","100","99","102","99","106","97","","","",""
"FLA","1014.2","90","117","77","111","89","114","102","107","99","99","107","112","","","",""
"COL","1031.0","96","120","80","109","92","115","109","114","109","97","108","106","","","",""
"PIT","1005.2","91","102","90","109","90","100","105","105","103","97","109","107","","","",""
"TEX","1023.0","99","92","107","123","97","90","105","104","103","95","110","106","","","",""
"DET","1017.2","81","106","77","117","80","103","104","106","99","97","111","109","","","",""
"CAL","1027.0","98","102","96","117","97","101","105","105","104","99","112","106","","","",""
"MIN","1005.0","89","93","96","122","87","91","109","107","106","96","116","109","","","",""
"STL","1018.0","88","96","91","123","86","95","108","107","104","96","124","113","","","",""
