"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"HOU","6394","119","80","108","109","113","126","119","99","101","98","102","103","101","94"
"NYY","6245","107","101","105","105","111","116","119","103","99","99","102","99","101","101"
"MIN","6392","97","91","106","104","112","116","120","101","104","91","108","105","97","96"
"LAD","6281","109","99","100","102","106","111","115","97","101","94","106","102","99","98"
"OAK","6269","108","93","98","101","102","108","107","94","100","97","104","103","100","95"
"BOS","6475","107","93","106","105","106","106","105","105","98","101","100","97","101","104"
"NYM","6290","93","101","100","99","99","104","99","100","96","106","96","97","104","99"
"WSN","6267","105","95","103","103","102","104","101","102","97","97","105","103","95","101"
"TBR","6285","101","104","100","101","98","103","95","103","101","105","93","95","107","99"
"CHC","6195","106","108","98","100","102","102","107","99","93","107","96","97","101","103"
"ATL","6302","111","106","100","102","102","102","104","102","109","95","101","103","94","103"
"SEA","6199","112","112","94","98","96","98","100","96","98","96","106","95","100","108"
"MIL","6309","113","113","96","99","98","98","102","99","97","102","99","94","102","107"
"LAA","6251","110","89","97","100","96","97","94","94","101","102","97","106","98","93"
"CLE","6124","108","95","98","100","98","95","98","97","93","101","103","103","98","99"
"STL","6167","103","105","95","97","93","94","91","97","102","96","103","101","102","95"
"ARI","6315","97","99","98","98","98","93","97","98","98","101","100","101","106","90"
"CHW","6042","74","112","103","97","94","92","82","110","99","110","88","92","98","116"
"PIT","6228","77","89","103","97","94","92","83","103","100","109","89","97","98","108"
"TOR","6091","98","109","93","94","97","92","103","94","99","94","108","107","97","93"
"PHI","6261","101","106","95","97","96","92","97","98","101","98","102","101","98","101"
"BAL","6189","88","101","97","96","94","90","90","98","96","104","98","100","101","98"
"SDP","6019","95","120","92","93","92","88","92","98","89","107","98","101","102","96"
"TEX","6204","101","111","98","99","98","88","98","102","104","101","97","99","98","103"
"CIN","6100","91","108","94","95","95","87","95","96","102","97","102","99","99","104"
"COL","6288","88","109","103","99","102","86","102","107","104","99","99","94","102","107"
"KCR","6080","88","101","97","96","91","84","83","101","99","105","95","97","100","104"
"SFG","6170","87","106","93","91","88","82","82","97","105","100","98","97","102","103"
"MIA","6045","74","111","93","90","84","79","72","100","98","113","85","95","101","108"
"DET","6039","76","116","95","91","88","76","79","103","108","98","98","96","103","102"
