"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"TEX","6478","107","111","105","105","110","112","117","108","112","96","98","95","102","105"
"BOS","6402","117","99","104","106","106","110","110","104","102","95","105","105","101","90"
"STL","6370","99","90","105","103","102","107","96","104","103","102","96","94","102","106"
"DET","6331","105","101","101","101","105","106","113","100","96","99","103","106","96","96"
"TBR","6312","115","115","97","101","100","105","106","100","99","102","99","100","102","98"
"NYY","6257","99","96","101","102","102","104","102","100","99","105","94","101","97","102"
"CHC","6384","109","108","104","104","104","104","104","106","102","98","101","91","97","118"
"CLE","6299","103","114","98","101","101","103","106","101","103","92","108","110","94","92"
"CHW","6231","101","97","98","99","106","101","121","93","99","92","110","107","94","95"
"NYM","6388","106","94","100","100","99","100","97","98","110","106","86","102","100","96"
"ATL","6368","106","94","101","102","96","99","87","102","106","103","93","95","104","104"
"MIN","6331","97","92","104","101","97","99","85","105","101","107","91","90","104","110"
"BAL","6211","100","95","100","99","102","99","106","98","98","98","103","98","100","103"
"PHI","6273","102","104","96","98","103","98","115","94","103","97","101","107","99","89"
"MIL","6252","97","112","94","96","101","97","112","95","89","97","109","104","96","98"
"LAA","6155","91","95","100","98","98","96","95","99","91","107","97","103","99","97"
"FLA","6206","96","129","95","96","101","96","112","99","94","96","108","108","93","96"
"TOR","6191","98","90","98","99","95","94","89","98","102","101","98","97","104","100"
"HOU","6051","81","101","98","95","97","93","96","98","94","105","98","96","102","103"
"LAD","6194","96","97","99","98","93","93","84","100","103","106","90","94","101","108"
"SDP","6244","91","118","93","93","91","92","88","98","95","98","105","100","101","99"
"SEA","6176","79","86","99","95","92","90","81","97","100","106","93","100","99","101"
"PIT","6278","83","97","97","94","95","89","91","96","99","98","104","102","101","96"
"COL","6312","99","112","98","99","97","88","96","102","104","100","98","92","109","102"
"ARI","6156","105","122","94","96","97","88","103","99","99","91","111","99","96","107"
"KCR","6118","75","98","100","95","94","87","84","102","102","107","91","90","106","109"
"CIN","6188","99","106","92","95","96","87","101","92","94","103","100","104","97","97"
"OAK","6138","109","119","90","94","88","86","83","95","96","95","108","97","102","103"
"WSN","6192","95","103","94","95","87","84","77","97","101","110","88","94","108","100"
"SFG","6145","81","99","98","95","90","83","76","101","91","111","91","93","105","104"
