"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"SEA","6474","114","93","108","108","104","116","97","108","","","","","",""
"CLE","6357","109","103","104","105","107","112","111","104","","","","","",""
"TEX","6388","103","104","103","103","110","108","121","101","","","","","",""
"SFG","6408","109","99","99","101","105","108","113","97","","","","","",""
"OAK","6385","121","97","99","103","102","108","108","97","","","","","",""
"CHW","6151","102","98","100","100","105","104","113","98","","","","","",""
"NYY","6233","100","101","100","100","101","103","104","99","","","","","",""
"STL","6177","96","103","100","100","100","101","100","101","","","","","",""
"HOU","6325","103","103","101","102","103","101","105","102","","","","","",""
"BOS","6264","100","110","100","100","102","100","107","101","","","","","",""
"MIN","6185","96","106","102","101","101","99","100","105","","","","","",""
"CHC","6219","104","101","97","99","98","98","99","97","","","","","",""
"SDP","6278","121","118","94","99","91","97","86","99","","","","","",""
"LAD","6169","94","100","95","95","97","97","99","93","","","","","",""
"ARI","6349","103","97","99","100","100","97","102","98","","","","","",""
"FLA","6184","85","108","98","96","96","95","93","101","","","","","",""
"COL","6394","89","94","109","104","110","95","111","108","","","","","",""
"DET","6145","91","96","97","96","95","94","92","98","","","","","",""
"TOR","6284","90","106","98","97","100","94","103","99","","","","","",""
"ANA","6226","96","98","98","98","94","93","89","98","","","","","",""
"PHI","6219","99","105","97","97","94","92","90","99","","","","","",""
"MIL","6148","89","133","94","94","97","90","102","100","","","","","",""
"ATL","6152","89","98","97","95","94","89","88","97","","","","","",""
"CIN","6222","84","110","98","95","95","88","92","101","","","","","",""
"BAL","6151","101","98","93","95","88","88","81","94","","","","","",""
"NYM","6156","99","101","93","95","88","87","80","95","","","","","",""
"TBD","6104","90","111","97","96","90","86","80","102","","","","","",""
"KCR","6176","79","88","100","95","95","82","88","98","","","","","",""
"PIT","6027","87","107","92","92","89","80","85","94","","","","","",""
"MON","6026","89","104","94","94","90","79","83","97","","","","","",""
