"Team","IP","K/9+","BB/9+","K/BB+","HR/9+","K%+","BB%+","AVG+","WHIP+","BABIP+","LOB%+","ERA-","FIP-","xFIP-","LD%+","GB%+","FB%+"
"TBR","1459.2","115","96","120","79","119","99","90","89","95","104","82","86","87","95","108","93"
"CIN","1453.0","101","86","117","97","103","88","97","94","98","106","84","92","97","99","100","100"
"WSN","1468.1","106","99","107","82","108","101","93","93","96","103","84","92","97","95","101","101"
"ATL","1445.1","100","94","106","93","102","96","96","94","96","104","87","98","97","97","103","97"
"OAK","1470.0","94","94","100","83","95","95","96","95","96","104","88","96","102","104","94","106"
"LAD","1449.2","103","109","95","78","105","111","93","96","96","103","88","93","101","99","100","101"
"DET","1430.2","112","91","122","87","112","91","101","99","105","100","90","87","90","106","97","100"
"NYY","1445.1","111","89","125","109","111","89","99","97","102","104","92","93","90","99","101","99"
"TEX","1442.0","108","92","117","100","109","93","98","97","100","99","93","92","93","99","98","102"
"BAL","1483.0","96","97","100","103","96","97","99","99","98","102","93","98","100","98","100","101"
"CHW","1445.2","105","104","101","106","105","104","98","99","99","104","95","98","100","100","96","105"
"STL","1462.2","97","87","112","85","99","88","100","97","101","101","96","94","95","103","106","90"
"ARI","1433.2","98","85","115","101","99","86","103","98","102","99","96","97","98","100","101","99"
"PHI","1451.1","112","82","135","114","114","84","99","94","101","101","98","93","92","99","95","107"
"SEA","1456.2","97","92","106","94","99","93","97","95","97","102","98","100","99","101","96","104"
"SFG","1451.0","100","98","101","91","100","99","97","97","98","101","100","102","101","96","101","101"
"PIT","1433.1","97","100","97","98","97","100","98","98","97","100","102","104","102","98","102","98"
"LAA","1433.1","98","100","97","107","99","101","97","97","95","100","104","107","100","98","99","103"
"MIL","1453.2","113","106","107","108","112","105","103","104","106","99","104","94","95","108","96","100"
"KCR","1451.1","98","111","89","93","97","109","106","108","107","100","104","102","104","103","97","102"
"MIA","1440.2","90","100","90","86","90","100","103","103","102","97","106","103","106","105","99","99"
"NYM","1434.0","101","99","101","104","101","100","99","99","98","98","109","100","103","99","93","110"
"TOR","1443.2","96","118","81","117","95","116","102","107","100","99","110","110","104","97","104","96"
"SDP","1434.2","98","110","90","105","98","109","98","101","96","99","110","109","104","96","104","97"
"BOS","1443.0","99","109","90","109","97","107","103","105","102","96","111","109","101","100","104","95"
"CHC","1413.2","93","118","79","115","92","116","102","106","99","98","112","114","112","104","95","105"
"COL","1422.0","94","116","81","129","89","110","114","118","110","95","113","109","109","107","99","97"
"HOU","1423.1","96","111","87","113","93","108","106","109","104","96","116","108","106","93","105","98"
"MIN","1438.2","80","96","83","114","78","94","107","106","101","95","116","114","108","102","103","96"
"CLE","1442.0","91","112","81","100","89","109","105","109","103","93","120","107","106","99","103","97"
