"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"SFG","6418","110","99","102","103","106","112","112","101","","","","","",""
"CLE","6512","110","104","104","105","106","109","108","105","","","","","",""
"OAK","6432","122","115","98","103","103","109","112","99","","","","","",""
"SEA","6444","126","106","98","103","99","107","102","99","","","","","",""
"ANA","6373","100","103","101","101","106","106","115","100","","","","","",""
"CHW","6410","96","96","104","102","106","106","109","102","","","","","",""
"HOU","6444","104","108","102","103","107","105","115","101","","","","","",""
"STL","6369","106","121","99","102","102","105","107","102","","","","","",""
"NYY","6311","104","102","100","101","101","105","103","100","","","","","",""
"TOR","6326","87","104","100","98","106","101","115","98","","","","","",""
"DET","6343","93","99","100","98","99","100","97","100","","","","","",""
"LAD","6312","106","106","94","97","97","99","100","94","","","","","",""
"NYM","6328","107","101","96","99","96","99","96","96","","","","","",""
"BAL","6238","93","92","98","98","98","98","97","97","","","","","",""
"TEX","6364","95","93","103","101","100","97","97","102","","","","","",""
"ATL","6275","95","99","99","99","96","96","91","100","","","","","",""
"CIN","6373","88","96","100","98","100","94","100","99","","","","","",""
"BOS","6371","100","102","97","98","95","92","93","98","","","","","",""
"SDP","6291","96","115","93","94","90","91","86","98","","","","","",""
"PIT","6369","89","100","98","97","95","91","91","99","","","","","",""
"KCR","6394","83","84","104","100","96","89","82","103","","","","","",""
"FLA","6203","87","118","96","95","92","89","85","101","","","","","",""
"CHC","6397","99","108","94","95","92","89","90","96","","","","","",""
"ARI","6241","86","96","97","95","96","88","95","97","","","","","",""
"MON","6153","77","105","98","93","97","87","95","99","","","","","",""
"MIN","6283","92","104","98","96","92","86","82","102","","","","","",""
"TBD","6206","94","105","93","94","90","83","85","95","","","","","",""
"PHI","6273","97","110","92","94","90","83","85","96","","","","","",""
"COL","6453","93","87","108","103","102","82","93","107","","","","","",""
"MIL","6355","98","121","90","93","90","82","91","94","","","","","",""
