"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR"
"SDP","89","74","45","648","163","1484.2","6.89","2.87","0.72",".287","71.6%","45.8%","7.4%","90.1","3.72","","3.81","4.13","22.7"
"CLE","96","66","49","557","162","1462.2","6.44","2.52","0.90",".302","71.9%","45.3%","8.7%","89.8","4.05","","4.06","4.21","20.5"
"LAA","94","68","43","558","162","1435.0","7.25","2.99","0.95",".307","71.1%","42.2%","8.6%","92.0","4.23","","4.10","4.26","20.0"
"LAD","82","80","43","645","162","1450.0","7.35","3.22","0.91",".301","70.9%","45.5%","9.6%","92.0","4.20","","4.07","4.07","20.0"
"MIL","83","79","49","654","162","1444.1","7.32","3.16","1.00",".308","70.2%","41.5%","9.2%","91.7","4.44","","4.22","4.29","18.8"
"BOS","96","66","45","613","162","1438.2","7.19","3.02","0.94",".284","73.5%","42.6%","8.7%","90.5","3.87","","4.14","4.28","18.4"
"CHC","85","77","39","640","162","1446.2","7.53","3.56","1.03",".281","73.6%","41.3%","9.6%","91.0","4.04","","4.36","4.36","17.7"
"TOR","83","79","44","582","162","1448.2","6.63","2.98","0.98",".282","71.8%","48.7%","10.6%","91.9","4.00","","4.28","4.15","17.5"
"CHW","72","90","42","625","162","1440.2","6.34","3.12","1.09",".304","68.2%","42.9%","9.8%","91.2","4.77","","4.56","4.54","17.2"
"OAK","76","86","36","608","162","1448.0","6.44","3.29","0.86",".296","69.4%","44.8%","8.3%","90.3","4.30","","4.23","4.44","17.0"
"COL","90","73","39","692","163","1472.0","5.91","3.08","1.00",".290","71.1%","46.5%","9.9%","92.0","4.32","","4.52","4.48","16.5"
"SFG","71","91","37","658","162","1453.2","6.54","3.67","0.82",".293","71.8%","43.0%","7.7%","90.2","4.20","","4.30","4.59","16.0"
"ARI","90","72","51","631","162","1441.0","6.80","3.41","1.06",".293","72.7%","43.9%","10.3%","90.2","4.13","","4.52","4.42","16.0"
"CIN","72","90","34","684","162","1449.2","6.63","2.99","1.23",".310","69.4%","40.0%","10.7%","89.9","4.95","","4.69","4.52","15.0"
"NYM","88","74","39","661","162","1452.1","7.03","3.53","1.02",".287","71.4%","40.8%","9.2%","90.5","4.27","","4.46","4.52","14.6"
"SEA","88","74","43","618","162","1434.1","6.40","3.43","0.92",".315","69.3%","43.6%","8.4%","90.3","4.77","","4.42","4.62","14.2"
"MIN","79","83","38","600","162","1436.2","6.85","2.63","1.16",".301","72.9%","42.9%","10.6%","92.5","4.18","","4.37","4.22","13.7"
"NYY","94","68","34","684","162","1450.2","6.26","3.59","0.93",".299","70.6%","42.8%","8.5%","91.6","4.50","","4.51","4.70","13.5"
"ATL","84","78","36","690","162","1456.1","6.83","3.32","1.06",".288","72.4%","45.3%","10.8%","91.3","4.11","","4.45","4.29","13.1"
"KCR","69","93","36","610","162","1437.1","6.22","3.26","1.05",".304","71.0%","41.1%","9.3%","91.5","4.50","","4.55","4.61","12.1"
"HOU","73","89","38","638","162","1464.2","6.81","3.13","1.27",".300","71.7%","44.0%","11.5%","90.8","4.70","","4.73","4.44","11.8"
"DET","88","74","44","605","162","1447.1","6.51","3.52","1.08",".295","70.7%","44.2%","10.2%","92.5","4.58","","4.67","4.59","11.1"
"BAL","69","93","30","652","162","1438.2","6.80","4.35","1.01",".302","68.4%","44.9%","9.7%","90.4","5.19","","4.78","4.78","11.0"
"PIT","68","94","32","657","162","1447.2","6.20","3.22","1.08",".315","69.5%","44.1%","10.0%","91.3","4.94","","4.66","4.60","10.9"
"PHI","89","73","42","660","162","1458.1","6.48","3.44","1.22",".301","71.5%","43.5%","11.9%","90.8","4.76","","4.86","4.52","9.9"
"STL","78","84","34","678","162","1435.2","5.92","3.19","1.05",".293","68.1%","43.5%","9.6%","91.2","4.67","","4.66","4.67","9.8"
"TBD","66","96","28","645","162","1429.2","7.52","3.58","1.25",".331","66.8%","41.8%","11.1%","92.0","5.53","","4.70","4.47","9.2"
"TEX","75","87","42","629","162","1430.0","6.14","4.20","0.98",".303","69.4%","46.5%","9.7%","91.5","4.76","","4.83","4.82","9.1"
"FLA","71","91","40","722","162","1443.2","7.12","4.12","1.10",".321","69.4%","41.7%","10.2%","91.3","4.96","","4.77","4.69","8.3"
"WSN","73","89","46","750","162","1446.2","5.79","3.61","1.16",".286","72.0%","39.7%","9.6%","89.7","4.58","","4.92","4.93","4.4"
