"Team","IP","K/9+","BB/9+","K/BB+","HR/9+","K%+","BB%+","AVG+","WHIP+","BABIP+","LOB%+","ERA-","FIP-","xFIP-","LD%+","GB%+","FB%+"
"NYM","1484.0","109","91","119","80","112","93","94","92","97","103","87","91","","","",""
"HOU","1456.1","119","96","125","91","123","98","89","89","93","103","89","94","","","",""
"KCR","1440.1","95","88","108","74","97","89","99","95","100","100","91","91","","","",""
"BOS","1429.2","112","87","128","103","113","88","102","98","104","103","91","95","","","",""
"CHW","1442.1","96","102","94","87","97","104","96","96","96","100","91","97","","","",""
"STL","1466.1","78","88","88","106","80","90","99","95","94","104","92","109","","","",""
"CAL","1456.0","101","87","117","93","105","89","95","91","95","100","93","92","","","",""
"SFG","1460.1","102","108","94","95","103","109","93","96","94","102","94","101","","","",""
"MIL","1431.2","103","91","113","97","103","91","102","100","103","100","96","97","","","",""
"TEX","1450.1","113","134","84","88","112","132","95","104","99","101","96","101","","","",""
"TOR","1476.0","105","87","121","98","106","88","100","96","101","100","97","95","","","",""
"DET","1443.2","94","104","90","112","95","105","96","98","94","103","99","106","","","",""
"ATL","1424.2","98","108","91","94","97","106","105","107","106","98","100","97","","","",""
"PHI","1451.2","90","101","89","103","89","100","105","105","103","99","101","104","","","",""
"CIN","1468.0","94","95","99","106","94","95","104","102","102","98","101","99","","","",""
"NYY","1443.1","94","90","105","107","95","90","100","98","99","100","101","102","","","",""
"MON","1466.1","108","103","105","93","108","103","97","98","99","98","103","97","","","",""
"LAD","1454.1","108","91","119","91","108","91","102","100","104","99","104","95","","","",""
"PIT","1450.2","96","105","91","109","95","104","101","102","99","100","105","105","","","",""
"BAL","1436.2","103","98","104","109","103","98","101","100","100","99","105","100","","","",""
"SEA","1439.2","101","107","94","105","99","104","108","109","109","98","109","99","","","",""
"CLE","1447.2","80","110","72","101","77","106","104","107","100","97","109","111","","","",""
"SDP","1443.1","97","112","87","119","96","110","102","105","100","100","109","109","","","",""
"OAK","1433.0","101","122","82","102","100","122","94","101","94","99","110","110","","","",""
"MIN","1432.2","101","93","109","123","99","91","107","105","106","98","111","106","","","",""
"CHC","1445.0","100","103","97","114","98","101","110","110","110","97","113","98","","","",""
