"Team","IP","K/9+","BB/9+","K/BB+","HR/9+","K%+","BB%+","AVG+","WHIP+","BABIP+","LOB%+","ERA-","FIP-","xFIP-","LD%+","GB%+","FB%+"
"DET","1448.0","97","95","101","88","99","98","94","93","94","105","85","95","98","99","104","96"
"MIN","1439.1","113","70","161","101","116","72","98","91","101","104","88","91","87","102","100","99"
"LAA","1452.2","112","92","122","87","115","94","93","92","97","99","89","91","95","95","97","107"
"HOU","1468.2","106","87","122","100","109","89","96","92","97","102","92","93","92","98","103","97"
"SDP","1463.2","100","85","118","97","104","88","94","90","94","104","94","98","97","97","95","108"
"OAK","1451.2","97","103","93","89","97","103","100","100","100","104","95","98","103","100","97","103"
"TOR","1428.1","105","100","106","103","106","100","97","97","97","101","95","98","95","101","106","92"
"COL","1447.1","88","101","87","86","88","101","104","104","103","98","95","95","103","100","104","95"
"NYM","1461.1","107","96","111","99","109","98","95","94","96","102","95","97","96","98","99","102"
"ARI","1459.2","102","97","104","93","103","98","100","100","101","99","96","93","95","101","107","91"
"LAD","1460.1","98","89","109","84","99","90","101","98","103","100","96","92","95","91","109","94"
"TEX","1431.1","95","98","97","90","95","97","102","101","102","100","97","96","100","102","106","91"
"NYY","1443.2","99","97","101","94","100","98","96","96","96","99","97","98","102","93","99","105"
"CHW","1449.0","98","84","116","110","99","85","100","96","98","100","97","96","100","96","98","104"
"CLE","1423.1","93","85","108","93","93","85","103","100","103","99","98","98","99","102","102","96"
"CIN","1445.2","98","85","113","119","97","85","104","101","102","101","99","100","99","105","95","104"
"FLA","1433.1","102","115","88","93","101","114","100","104","101","101","100","103","104","99","98","103"
"PHI","1460.1","104","93","112","117","104","93","103","101","103","101","100","100","95","105","100","98"
"CHC","1439.0","116","127","92","118","115","125","95","103","97","100","102","105","101","101","95","106"
"BOS","1441.1","104","100","104","100","103","99","102","102","103","99","102","102","99","101","100","99"
"ATL","1441.1","98","105","93","102","96","104","102","104","102","100","102","103","100","104","103","94"
"SFG","1429.2","93","108","86","86","93","108","98","100","97","97","103","102","107","99","96","105"
"PIT","1435.0","99","115","86","88","97","113","104","108","106","100","103","102","101","103","104","93"
"STL","1429.2","91","94","97","109","91","94","101","99","98","102","104","108","100","100","106","94"
"SEA","1446.2","103","109","94","101","103","109","98","101","99","101","105","103","102","100","98","102"
"MIL","1425.2","108","96","112","100","108","96","99","98","101","95","107","97","97","101","96","104"
"TBD","1420.1","96","120","80","101","93","117","105","110","104","99","111","107","109","102","97","102"
"BAL","1419.0","100","122","82","122","97","119","104","109","102","98","116","109","106","104","97","102"
"WSN","1436.1","90","108","83","108","87","105","102","105","99","97","117","114","112","99","91","112"
"KCR","1426.1","89","126","69","119","85","121","107","113","103","95","124","118","112","105","97","101"
