"Team","IP","K/9+","BB/9+","K/BB+","HR/9+","K%+","BB%+","AVG+","WHIP+","BABIP+","LOB%+","ERA-","FIP-","xFIP-","LD%+","GB%+","FB%+"
"LAD","1473.1","110","101","108","78","113","104","90","91","94","104","84","91","96","97","99","102"
"SFG","1446.0","114","103","110","88","117","106","91","93","95","104","86","93","94","100","98","103"
"ATL","1462.2","107","93","115","74","109","94","98","96","102","102","86","87","92","102","105","93"
"CHC","1445.1","112","104","107","100","113","105","95","96","97","103","88","96","98","95","97","106"
"STL","1440.2","92","82","113","77","94","83","99","94","99","101","90","92","94","96","113","87"
"CHW","1439.2","102","94","108","95","103","95","98","96","99","100","90","91","95","97","104","97"
"SEA","1452.2","94","98","96","96","96","100","93","93","91","103","90","102","101","102","97","103"
"COL","1438.1","102","94","108","89","102","94","100","99","102","98","92","89","94","103","107","90"
"BOS","1436.2","112","98","114","94","111","97","100","100","104","102","93","96","96","100","96","104"
"TEX","1434.2","93","98","94","96","94","99","98","98","97","101","93","98","102","104","100","98"
"NYY","1450.0","114","105","108","101","115","106","94","96","97","101","93","94","95","104","99","99"
"DET","1447.0","100","109","92","102","100","110","99","101","99","102","96","102","101","98","100","101"
"CIN","1458.1","93","101","92","117","94","102","100","99","96","103","98","106","106","100","96","105"
"PHI","1455.2","100","86","117","118","101","86","102","98","101","104","98","102","100","108","93","105"
"OAK","1447.1","102","96","105","87","102","96","100","99","101","98","99","95","96","97","104","97"
"TOR","1451.0","107","101","106","101","107","101","102","101","104","101","100","98","94","106","106","91"
"ARI","1447.2","101","93","109","105","101","92","102","100","102","97","100","97","98","104","98","100"
"LAA","1445.0","96","96","100","101","97","96","102","100","101","101","101","102","101","100","98","102"
"FLA","1446.1","109","106","103","100","108","105","99","102","102","98","101","99","99","99","98","103"
"TBR","1427.1","103","96","108","104","104","96","97","97","97","100","102","101","97","101","98","102"
"MIN","1453.0","95","85","111","103","95","86","102","98","101","101","102","102","101","96","96","106"
"KCR","1426.0","106","112","95","94","105","110","101","104","103","95","108","100","99","97","103","98"
"NYM","1426.0","92","111","83","100","90","108","102","105","100","99","110","108","110","97","97","105"
"HOU","1430.0","102","98","104","112","100","97","106","105","106","100","110","102","98","101","104","95"
"PIT","1418.1","82","102","81","97","82","101","106","105","102","98","111","107","109","100","100","100"
"BAL","1429.0","86","102","83","123","83","99","108","109","103","98","113","109","108","100","98","102"
"SDP","1450.2","104","106","97","104","104","106","100","101","100","98","114","105","101","96","99","103"
"CLE","1434.0","90","111","81","103","88","108","105","108","103","96","115","108","106","99","101","99"
"MIL","1435.0","98","108","90","131","95","105","104","106","101","99","117","114","107","99","97","104"
"WSN","1424.1","81","113","72","110","79","109","106","110","101","94","120","113","113","101","101","99"
