"Team","IP","K/9+","BB/9+","K/BB+","HR/9+","K%+","BB%+","AVG+","WHIP+","BABIP+","LOB%+","ERA-","FIP-","xFIP-","LD%+","GB%+","FB%+"
"MIL","1449.2","94","85","111","92","96","87","95","92","95","102","87","95","","","",""
"NYM","1439.0","121","85","143","74","124","87","95","91","101","101","88","83","","","",""
"MON","1482.2","99","97","102","112","100","98","96","95","95","103","89","104","","","",""
"LAD","1463.1","111","98","114","78","113","99","96","95","99","103","90","92","","","",""
"OAK","1489.2","108","104","104","83","110","106","95","96","98","105","92","96","","","",""
"KCR","1428.1","102","91","110","76","102","92","100","98","102","100","92","93","","","",""
"CIN","1455.0","102","105","97","114","103","106","96","97","95","102","94","101","","","",""
"MIN","1431.2","103","89","116","108","103","89","103","99","103","103","95","98","","","",""
"TOR","1449.0","102","102","100","105","102","103","99","99","99","103","95","103","","","",""
"DET","1445.2","101","97","104","110","102","97","96","96","95","103","96","101","","","",""
"SDP","1449.0","97","91","105","106","98","93","99","97","99","102","96","98","","","",""
"BOS","1426.1","125","97","128","106","125","97","100","99","104","101","97","95","","","",""
"STL","1470.2","95","100","95","85","95","100","101","101","101","99","99","98","","","",""
"PIT","1440.2","87","98","88","102","87","98","101","100","98","101","101","104","","","",""
"TEX","1438.2","104","128","81","95","103","127","94","101","95","98","102","105","","","",""
"SEA","1428.1","113","110","103","107","113","110","99","101","101","97","102","96","","","",""
"SFG","1462.1","95","87","109","93","96","88","97","95","97","97","102","96","","","",""
"HOU","1474.2","113","98","115","114","113","98","97","98","99","101","102","105","","","",""
"CHW","1440.0","86","104","83","102","85","103","102","103","99","97","104","108","","","",""
"CLE","1434.0","93","87","107","89","92","86","104","101","104","97","104","95","","","",""
"CHC","1465.0","97","101","96","107","95","99","107","107","106","99","106","100","","","",""
"NYY","1456.0","97","94","103","115","96","93","103","102","102","100","108","104","","","",""
"CAL","1456.0","92","110","84","98","91","108","104","106","103","98","111","103","","","",""
"ATL","1446.0","89","109","81","102","86","106","108","110","105","95","113","104","","","",""
"BAL","1416.0","82","104","79","115","81","102","106","107","102","97","116","110","","","",""
"PHI","1433.0","95","132","72","113","91","127","106","115","105","98","118","114","","","",""
