"Team","IP","K/9+","BB/9+","K/BB+","HR/9+","K%+","BB%+","AVG+","WHIP+","BABIP+","LOB%+","ERA-","FIP-","xFIP-","LD%+","GB%+","FB%+"
"ATL","1471.0","109","83","131","77","113","86","94","90","98","103","81","84","","","",""
"ARI","1467.1","110","89","122","95","113","92","94","91","96","106","81","92","","","",""
"BOS","1436.2","114","79","144","85","118","82","92","87","95","102","81","88","","","",""
"CIN","1462.0","99","105","95","103","102","108","90","92","89","105","86","101","","","",""
"NYY","1439.2","111","98","114","84","113","99","92","93","96","103","88","91","","","",""
"HOU","1458.2","111","79","140","70","114","81","100","93","106","103","89","84","","","",""
"PIT","1433.1","102","106","95","89","102","106","99","100","100","100","94","98","","","",""
"ANA","1431.1","88","106","84","95","89","106","97","99","95","100","97","101","","","",""
"NYM","1456.2","108","102","106","91","111","104","94","95","97","104","97","98","","","",""
"CLE","1450.1","111","106","105","104","112","106","97","99","99","100","99","98","","","",""
"TOR","1439.0","101","97","105","102","101","96","102","101","102","100","100","100","","","",""
"OAK","1438.1","97","96","101","85","98","96","100","99","100","97","100","94","","","",""
"MIN","1423.1","94","83","113","112","95","84","103","98","101","100","101","102","","","",""
"CHW","1438.1","97","100","97","112","95","99","102","103","101","102","101","104","","","",""
"TEX","1436.1","98","86","112","99","99","86","104","100","104","99","101","94","","","",""
"BAL","1435.0","99","109","91","106","100","110","97","99","96","103","101","105","","","",""
"MON","1434.1","98","96","102","84","97","95","101","100","102","94","102","95","","","",""
"TBD","1433.0","106","117","90","92","104","114","104","108","106","98","103","100","","","",""
"LAD","1452.2","100","99","101","105","100","99","97","97","96","101","104","103","","","",""
"STL","1445.1","95","111","85","89","94","109","102","105","102","98","105","100","","","",""
"SDP","1420.1","102","90","113","108","103","91","99","97","99","100","105","103","","","",""
"KCR","1420.2","84","110","77","109","83","107","104","107","101","99","105","108","","","",""
"DET","1420.2","99","99","100","113","99","99","100","100","99","99","106","102","","","",""
"PHI","1438.1","96","105","92","117","95","104","101","102","98","100","107","110","","","",""
"SFG","1456.1","99","108","92","106","98","107","99","102","98","100","108","106","","","",""
"COL","1429.0","97","124","78","132","92","118","112","118","110","96","109","109","","","",""
"FLA","1435.2","88","110","80","95","87","108","105","107","103","99","111","106","","","",""
"MIL","1442.2","92","103","89","117","90","100","106","107","103","99","111","110","","","",""
"SEA","1433.2","99","115","85","102","96","113","104","108","104","100","112","108","","","",""
"CHC","1430.2","92","89","103","123","91","88","106","104","103","95","116","106","","","",""
