"Team","IP","K/9+","BB/9+","K/BB+","HR/9+","K%+","BB%+","AVG+","WHIP+","BABIP+","LOB%+","ERA-","FIP-","xFIP-","LD%+","GB%+","FB%+"
"BOS","1452.2","111","82","134","89","114","85","93","89","96","102","85","92","","","",""
"ATL","1440.1","101","79","128","88","104","81","97","92","98","102","88","90","","","",""
"CIN","1456.1","93","106","88","101","93","107","98","100","96","104","91","101","","","",""
"ARI","1443.2","113","81","139","101","116","84","98","93","101","101","92","90","","","",""
"COL","1430.0","93","96","97","119","92","95","106","104","103","98","93","98","","","",""
"CHW","1450.1","103","102","101","100","104","103","98","98","99","101","94","98","","","",""
"NYM","1450.0","107","93","115","87","108","94","95","94","97","101","94","94","","","",""
"LAD","1445.0","107","97","109","94","108","99","95","95","97","104","95","96","","","",""
"SFG","1444.1","99","101","98","81","100","102","99","99","101","102","95","97","","","",""
"OAK","1435.1","96","103","94","82","96","103","100","101","101","101","95","96","","","",""
"STL","1433.2","102","99","103","105","104","101","97","97","97","102","96","100","","","",""
"SEA","1441.2","99","106","94","87","101","107","95","97","96","102","96","98","","","",""
"CLE","1442.1","121","111","109","90","121","111","98","101","104","102","96","91","","","",""
"TBD","1431.1","96","89","107","103","96","90","101","98","100","100","98","100","","","",""
"NYY","1424.1","105","97","108","93","105","98","96","96","97","99","99","96","","","",""
"DET","1443.1","97","82","118","92","98","84","102","97","102","99","99","96","","","",""
"MIL","1466.1","88","116","75","91","87","115","101","105","99","101","100","106","","","",""
"ANA","1448.0","84","110","76","118","84","110","99","102","94","102","102","112","","","",""
"MIN","1432.2","104","86","119","111","104","86","104","101","105","99","103","100","","","",""
"FLA","1429.2","98","107","92","91","97","106","101","103","101","100","103","101","","","",""
"TOR","1437.1","98","94","104","101","97","93","104","102","103","97","103","100","","","",""
"PHI","1438.2","104","104","99","108","104","104","99","101","99","100","103","104","","","",""
"KCR","1439.1","92","116","80","124","91","114","103","106","99","101","105","111","","","",""
"SDP","1459.1","98","104","94","101","98","104","97","99","96","100","105","107","","","",""
"PIT","1449.0","98","115","85","87","96","112","104","108","105","97","106","101","","","",""
"TEX","1429.0","92","111","83","106","89","107","107","110","105","97","107","105","","","",""
"MON","1424.2","95","95","99","98","93","94","106","104","105","95","111","100","","","",""
"HOU","1437.2","99","98","100","125","96","95","106","105","103","96","113","108","","","",""
"BAL","1433.1","102","111","91","105","100","110","100","104","99","98","113","103","","","",""
"CHC","1454.2","105","106","99","122","104","105","101","103","100","98","115","109","","","",""
