"Team","IP","K/9+","BB/9+","K/BB+","HR/9+","K%+","BB%+","AVG+","WHIP+","BABIP+","LOB%+","ERA-","FIP-","xFIP-","LD%+","GB%+","FB%+"
"ATL","1438.2","113","86","131","73","118","90","92","89","97","104","78","83","","","",""
"NYY","1456.2","104","84","124","87","109","87","92","87","93","106","84","91","","","",""
"HOU","1471.1","107","84","127","90","109","86","98","94","100","106","87","95","","","",""
"BOS","1436.0","101","92","109","95","103","94","95","93","95","102","88","99","","","",""
"PIT","1449.0","102","97","104","91","102","98","99","98","100","100","92","95","","","",""
"SDP","1454.2","111","92","120","86","113","93","96","94","100","104","92","92","","","",""
"TOR","1465.0","111","105","106","94","112","106","95","97","97","102","92","96","","","",""
"TBD","1443.0","98","116","84","97","99","117","97","100","96","105","93","104","","","",""
"NYM","1458.0","103","97","105","94","105","99","97","95","98","106","93","100","","","",""
"CLE","1460.0","100","101","99","95","100","101","101","101","102","103","94","99","","","",""
"COL","1432.2","88","104","84","109","86","103","109","109","106","96","95","98","","","",""
"LAD","1447.1","108","108","100","84","109","109","94","96","97","102","96","96","","","",""
"ANA","1444.0","106","114","93","93","106","114","98","102","101","102","96","97","","","",""
"MIN","1447.2","93","83","112","101","93","83","105","100","103","100","99","99","","","",""
"STL","1469.2","88","101","87","92","87","100","102","102","100","98","103","101","","","",""
"TEX","1431.1","98","95","103","93","96","93","105","105","106","96","103","94","","","",""
"CIN","1441.1","101","106","95","106","101","106","98","99","97","99","103","102","","","",""
"SFG","1477.0","98","101","97","104","98","101","99","99","98","102","103","104","","","",""
"MON","1427.0","94","99","94","98","94","98","100","101","99","96","104","102","","","",""
"DET","1446.1","92","108","85","104","92","108","102","104","100","98","105","102","","","",""
"BAL","1431.1","105","98","107","96","105","98","100","100","102","101","105","97","","","",""
"OAK","1434.0","91","97","94","102","90","96","102","102","100","96","105","103","","","",""
"CHC","1477.1","108","103","104","110","106","102","102","103","103","100","106","100","","","",""
"SEA","1424.1","114","97","117","112","113","96","101","101","103","98","106","98","","","",""
"ARI","1432.1","84","91","92","118","84","91","101","99","96","95","107","108","","","",""
"PHI","1463.0","106","99","107","116","106","98","100","100","100","98","108","104","","","",""
"KCR","1436.1","98","104","93","111","96","102","104","105","103","97","109","103","","","",""
"MIL","1451.0","97","101","96","116","96","100","105","104","103","99","109","107","","","",""
"CHW","1438.2","89","106","84","119","88","104","103","104","99","95","114","112","","","",""
"FLA","1449.2","93","131","71","113","88","125","109","117","107","96","128","118","","","",""
