"Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO"
"DET","95","67","3.85","552","162","3","1","46","75","16","1448.0","6145","1420","675","620","160","489","35","53","44","2","1003"
"SDP","88","74","3.88","637","162","4","2","50","81","21","1463.2","6175","1385","679","631","176","468","63","50","34","4","1097"
"MIN","96","66","3.95","583","162","1","0","40","68","10","1439.1","6066","1490","683","632","182","356","25","36","40","3","1164"
"LAA","89","73","4.04","542","162","5","3","50","50","13","1452.2","6149","1410","732","652","158","471","27","50","85","3","1164"
"HOU","82","80","4.09","659","162","5","2","42","75","18","1468.2","6219","1425","719","668","182","480","65","54","44","2","1160"
"NYM","97","65","4.16","636","162","5","3","43","73","15","1461.1","6240","1402","731","675","180","527","39","62","37","5","1161"
"OAK","93","69","4.22","606","162","5","2","54","83","20","1451.2","6279","1525","727","680","162","529","47","55","43","4","1003"
"LAD","88","74","4.23","616","162","1","0","40","56","21","1460.1","6289","1524","751","686","152","492","40","41","54","8","1068"
"FLA","78","84","4.37","600","162","6","2","41","69","27","1433.1","6294","1465","772","696","166","622","58","74","47","4","1088"
"TOR","87","75","4.37","644","162","6","1","42","87","20","1428.1","6151","1447","754","694","185","504","56","59","53","13","1076"
"NYY","97","65","4.43","651","162","5","1","43","83","17","1443.2","6215","1463","767","710","170","496","41","59","46","7","1019"
"CLE","78","84","4.43","539","162","13","6","24","40","23","1423.1","6190","1583","782","701","166","429","35","51","46","2","948"
"ARI","76","86","4.49","623","162","8","4","34","75","20","1459.2","6341","1503","788","728","168","536","44","61","53","4","1115"
"CIN","80","82","4.53","638","162","9","3","36","49","24","1445.2","6319","1576","801","728","213","464","55","60","40","9","1053"
"STL","83","78","4.54","630","161","6","3","38","73","19","1429.2","6196","1475","762","721","193","504","35","80","35","3","970"
"PIT","67","95","4.55","667","162","2","1","39","72","21","1435.0","6354","1545","797","725","156","620","62","70","61","6","1060"
"ATL","79","83","4.60","684","162","6","2","38","56","29","1441.1","6350","1529","805","736","183","572","69","55","39","2","1049"
"SEA","78","84","4.60","591","162","6","2","47","72","20","1446.2","6294","1500","792","739","183","560","50","53","47","6","1067"
"TEX","80","82","4.61","651","162","3","1","42","79","23","1431.1","6237","1558","784","733","162","496","18","66","34","4","972"
"PHI","85","77","4.61","662","162","4","2","42","85","22","1460.1","6366","1561","812","748","211","512","63","62","58","4","1138"
"CHW","90","72","4.61","560","162","5","2","46","64","17","1449.0","6232","1534","794","743","200","433","59","58","51","1","1012"
"SFG","76","85","4.64","599","161","7","3","37","68","22","1429.2","6225","1422","790","737","153","584","37","70","50","7","992"
"COL","76","86","4.66","661","162","5","4","34","76","25","1447.1","6318","1549","812","749","155","553","81","66","43","2","952"
"CHC","66","96","4.74","704","162","2","1","29","68","17","1439.0","6366","1396","834","758","210","687","44","67","68","4","1250"
"BOS","86","76","4.83","616","162","3","1","46","80","23","1441.1","6292","1570","825","773","181","509","25","68","52","3","1070"
"MIL","75","87","4.83","589","162","7","5","43","59","24","1425.2","6210","1454","833","765","177","514","34","74","57","2","1145"
"TBD","61","101","4.97","606","162","3","2","33","47","21","1420.1","6374","1600","856","784","180","606","39","63","70","8","979"
"WSN","71","91","5.03","679","162","1","1","32","62","23","1436.1","6424","1535","872","803","193","584","93","92","47","10","960"
"BAL","70","92","5.35","634","162","5","1","35","58","21","1419.0","6327","1579","899","844","216","613","26","48","59","4","1016"
"KCR","62","100","5.67","635","162","3","2","35","66","31","1426.1","6434","1648","971","899","213","637","45","60","85","9","904"
