"Team","IP","K/9+","BB/9+","K/BB+","HR/9+","K%+","BB%+","AVG+","WHIP+","BABIP+","LOB%+","ERA-","FIP-","xFIP-","LD%+","GB%+","FB%+"
"ATL","1465.2","107","80","134","71","111","83","92","87","96","104","76","82","","","",""
"TOR","1442.2","112","89","125","95","114","91","97","94","100","104","86","92","","","",""
"NYY","1467.2","111","93","119","80","113","95","96","94","100","104","87","89","","","",""
"BAL","1461.0","109","99","110","92","112","102","93","93","96","105","87","93","","","",""
"MIL","1427.1","100","98","102","101","101","99","96","95","96","102","91","100","","","",""
"HOU","1459.0","102","91","112","86","104","93","96","94","98","103","92","97","","","",""
"LAD","1459.1","110","97","113","104","112","99","92","93","94","106","93","99","","","",""
"STL","1455.2","101","96","106","79","102","96","99","97","101","100","93","91","","","",""
"FLA","1446.2","107","115","94","84","108","115","96","100","99","104","95","98","","","",""
"NYM","1459.1","88","90","97","102","89","91","100","97","97","102","98","104","","","",""
"MON","1447.0","103","100","103","96","104","101","96","96","96","98","98","99","","","",""
"TEX","1429.2","91","97","92","97","89","96","104","104","103","99","98","99","","","",""
"DET","1445.2","95","98","97","101","96","99","98","97","96","99","99","98","","","",""
"ANA","1454.2","101","107","94","113","101","107","99","100","98","103","99","105","","","",""
"PIT","1436.0","98","101","97","93","97","100","104","104","104","100","100","99","","","",""
"COL","1432.2","79","103","77","128","76","99","115","114","108","97","101","106","","","",""
"KCR","1443.0","93","95","98","105","93","95","101","99","99","99","102","101","","","",""
"CLE","1425.2","102","104","98","104","101","103","101","102","102","100","102","103","","","",""
"CHC","1429.0","98","107","92","121","97","106","101","103","99","102","103","107","","","",""
"BOS","1451.2","95","108","88","84","94","106","102","104","102","97","104","101","","","",""
"SEA","1447.2","117","106","109","109","116","105","98","100","101","99","104","99","","","",""
"CIN","1449.0","105","100","104","111","104","100","98","98","98","100","105","102","","","",""
"CHW","1422.1","95","104","91","101","94","103","100","101","98","97","107","104","","","",""
"MIN","1434.0","89","89","100","107","89","89","104","101","101","96","107","103","","","",""
"SFG","1446.0","94","104","91","103","94","103","103","104","101","98","110","105","","","",""
"PHI","1420.1","111","113","98","112","109","111","101","105","103","95","113","104","","","",""
"OAK","1445.1","92","114","81","112","88","109","110","114","108","98","123","112","","","",""
"SDP","1450.0","95","107","89","111","93","104","107","109","105","95","126","110","","","",""
