"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"NYY","6455","121","101","103","107","105","113","109","103","98","104","97","99","102","99"
"CLE","6303","106","118","102","102","104","108","109","106","105","96","102","100","98","102"
"TOR","6241","99","90","103","102","106","107","110","100","99","97","104","95","108","98"
"CHW","6318","96","104","102","101","106","103","113","100","102","96","103","103","94","103"
"LAD","6394","106","91","101","102","98","101","92","101","100","102","98","98","101","102"
"MIN","6228","95","87","104","102","97","101","85","103","109","108","86","90","107","106"
"ATL","6284","94","113","99","98","103","100","109","101","103","100","98","95","102","105"
"PHI","6509","108","113","98","101","101","100","106","100","102","102","97","105","98","94"
"BOS","6435","126","102","98","103","99","100","102","98","102","91","110","108","99","89"
"NYM","6291","98","104","97","97","101","99","106","97","94","101","102","99","97","105"
"SDP","6287","101","107","97","97","94","99","90","99","99","98","103","98","100","103"
"DET","6198","84","113","100","97","102","99","107","102","97","97","105","103","93","104"
"STL","6225","96","90","99","98","98","98","96","97","100","104","96","101","100","99"
"OAK","6281","125","96","94","100","94","97","93","93","99","98","104","96","102","103"
"TEX","6273","97","105","101","99","102","97","104","102","102","98","101","102","100","97"
"WSN","6283","106","112","96","99","94","96","92","100","100","101","99","96","99","108"
"FLA","6191","90","123","97","97","98","96","100","102","97","102","100","99","98","104"
"BAL","6240","92","87","101","100","97","96","90","99","101","102","97","101","100","100"
"LAA","6221","94","91","100","98","97","95","93","99","94","102","101","102","98","99"
"SEA","6213","78","97","99","96","97","95","94","98","96","102","100","104","95","100"
"CIN","6296","110","115","95","98","98","94","103","96","99","100","100","101","100","98"
"KCR","6229","92","103","98","98","94","92","86","102","101","109","89","93","102","108"
"HOU","6326","104","104","94","97","93","90","91","94","95","101","102","94","106","101"
"MIL","6130","92","122","95","95","95","89","95","99","101","99","101","97","101","103"
"TBD","6041","88","113","93","92","96","89","102","94","95","101","101","102","102","94"
"SFG","6136","91","88","95","95","95","88","96","93","92","101","103","106","105","84"
"ARI","6330","90","93","98","97","96","87","93","97","97","103","98","100","101","99"
"COL","6348","99","106","99","99","98","87","96","103","108","101","95","92","101","111"
"PIT","6218","83","117","97","95","90","86","79","102","102","103","95","98","101","102"
"CHC","6147","72","92","98","93","95","84","91","97","97","109","91","92","105","106"
