"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR"
"ATL","95","67","53","538","162","1440.1","6.83","3.02","1.03",".288","71.9%","","","","4.06","","4.19","","22.3"
"ARI","85","77","38","552","162","1443.2","7.61","3.12","1.18",".297","71.6%","","","","4.36","","4.28","","22.1"
"BOS","85","77","46","587","162","1452.2","6.95","3.09","1.07",".288","71.2%","","","","4.24","","4.29","","20.5"
"CLE","90","72","34","624","162","1442.1","7.57","4.16","1.08",".312","71.0%","","","","4.84","","4.48","","20.4"
"NYM","94","68","49","573","162","1450.0","7.22","3.56","1.02",".286","71.8%","","","","4.16","","4.31","","19.1"
"NYY","87","74","40","543","161","1424.1","6.57","3.65","1.12",".290","69.2%","","","","4.76","","4.61","","17.5"
"DET","79","83","44","591","162","1443.1","6.10","3.09","1.10",".306","69.2%","","","","4.73","","4.50","","17.3"
"OAK","91","70","43","542","161","1435.1","6.04","3.86","0.99",".301","70.1%","","","","4.58","","4.61","","17.1"
"LAD","86","76","36","533","162","1445.0","7.19","3.74","1.10",".283","73.3%","","","","4.10","","4.52","","16.5"
"CHW","95","67","43","628","162","1450.1","6.44","3.81","1.21",".296","70.3%","","","","4.67","","4.83","","16.5"
"SFG","97","65","47","546","162","1444.1","6.70","3.88","0.94",".297","71.9%","","","","4.21","","4.38","","16.4"
"COL","82","80","33","641","162","1430.0","6.30","3.70","1.39",".302","69.4%","","","","5.29","","5.13","","16.4"
"SEA","91","71","44","545","162","1441.2","6.23","3.96","1.04",".288","70.9%","","","","4.53","","4.65","","15.5"
"STL","95","67","37","548","162","1433.2","6.91","3.80","1.23",".285","72.4%","","","","4.40","","4.77","","15.0"
"TOR","83","79","37","550","162","1437.1","6.12","3.51","1.22",".310","67.7%","","","","5.17","","4.84","","14.1"
"MON","67","95","39","614","162","1424.2","6.39","3.66","1.14",".309","66.9%","","","","5.14","","4.71","","13.8"
"CIN","85","77","42","550","163","1456.1","6.27","4.07","1.17",".282","73.5%","","","","4.33","","4.88","","13.8"
"TBD","69","92","38","562","161","1431.1","6.00","3.35","1.24",".299","69.9%","","","","4.86","","4.85","","13.6"
"MIN","69","93","35","574","162","1432.2","6.55","3.24","1.33",".314","69.1%","","","","5.16","","4.76","","13.3"
"PIT","69","93","27","628","162","1449.0","6.65","4.42","1.01",".308","68.5%","","","","4.94","","4.72","","13.2"
"FLA","79","82","48","590","161","1429.2","6.62","4.09","1.06",".298","71.0%","","","","4.59","","4.65","","13.1"
"BAL","74","88","33","558","162","1433.1","6.39","4.18","1.27",".298","67.9%","","","","5.37","","5.01","","12.0"
"TEX","71","91","39","577","162","1429.0","5.78","4.16","1.27",".314","67.5%","","","","5.52","","5.21","","11.0"
"PHI","65","97","34","575","162","1438.2","7.03","4.00","1.26",".292","70.5%","","","","4.79","","4.81","","10.9"
"MIL","73","89","29","596","163","1466.1","5.94","4.47","1.07",".291","71.6%","","","","4.63","","4.98","","10.3"
"SDP","76","86","46","605","162","1459.1","6.61","4.00","1.18",".282","71.1%","","","","4.52","","4.84","","9.5"
"HOU","72","90","30","572","162","1437.2","6.66","3.74","1.46",".303","68.0%","","","","5.42","","5.14","","8.7"
"CHC","65","97","39","583","162","1454.2","7.07","4.07","1.43",".292","69.5%","","","","5.26","","5.11","","8.1"
"KCR","77","85","29","491","162","1439.1","5.80","4.33","1.49",".296","70.0%","","","","5.48","","5.54","","6.7"
"ANA","82","80","46","603","162","1448.0","5.26","4.11","1.42",".282","71.3%","","","","5.02","","5.46","","4.9"
