"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"BOS","6334","118","80","109","110","108","115","104","107","","","","","",""
"OAK","6356","109","102","101","104","102","113","104","101","","","","","",""
"NYM","6105","108","99","100","102","105","111","116","98","","","","","",""
"TOR","6194","101","105","103","102","107","109","115","104","","","","","",""
"MIN","6181","102","94","106","105","108","108","112","104","","","","","",""
"NYY","6297","112","104","101","103","101","104","101","102","","","","","",""
"SFG","6178","108","119","97","99","98","100","100","100","","","","","",""
"DET","6153","114","96","96","100","97","100","98","95","","","","","",""
"CAL","6215","90","92","101","99","99","99","94","100","","","","","",""
"KCR","6086","96","108","100","99","100","99","100","102","","","","","",""
"PIT","6091","110","112","96","99","98","98","102","98","","","","","",""
"SEA","6018","92","91","99","98","102","97","108","97","","","","","",""
"CLE","6046","82","100","101","97","99","94","96","100","","","","","",""
"MON","6170","89","122","98","97","99","93","101","103","","","","","",""
"TEX","6157","105","116","97","99","94","92","89","101","","","","","",""
"LAD","6045","87","112","97","95","93","92","87","99","","","","","",""
"CHC","6203","78","105","102","97","102","92","102","103","","","","","",""
"MIL","6066","87","105","99","97","96","92","90","101","","","","","",""
"SDP","6032","99","106","96","97","93","91","87","98","","","","","",""
"HOU","6127","93","98","95","96","93","91","89","95","","","","","",""
"CIN","6063","95","109","96","96","98","91","102","97","","","","","",""
"BAL","5979","101","102","92","94","92","88","92","91","","","","","",""
"PHI","6055","98","116","93","96","94","88","97","96","","","","","",""
"CHW","6039","88","105","94","93","95","87","96","94","","","","","",""
"STL","6177","95","96","97","97","90","84","73","99","","","","","",""
"ATL","6013","87","101","95","93","92","79","88","95","","","","","",""
