"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"NYY","6528","114","91","107","108","109","119","114","104","103","104","94","100","99","101"
"BOS","6426","125","97","103","107","105","109","108","103","98","95","107","102","102","94"
"DET","6364","87","99","106","102","108","108","112","106","108","95","102","108","94","95"
"PHI","6537","111","112","100","103","105","105","113","102","102","97","102","101","100","97"
"CLE","6367","108","113","99","101","101","104","104","101","100","93","108","103","96","100"
"TBD","6280","101","126","99","99","102","103","108","104","102","97","102","104","97","97"
"SEA","6209","73","83","106","100","100","103","91","103","99","107","92","101","102","97"
"FLA","6344","93","128","98","98","103","101","111","104","102","94","105","103","98","98"
"NYM","6344","98","94","101","100","99","100","96","100","103","105","93","99","102","99"
"LAA","6198","96","85","105","102","98","100","87","103","92","107","95","101","100","99"
"MIL","6238","91","111","96","96","105","100","119","95","95","97","105","103","99","96"
"OAK","6365","122","105","95","100","96","99","99","95","103","92","108","100","103","97"
"ATL","6374","95","110","101","99","100","99","98","103","100","104","96","100","101","99"
"COL","6498","108","108","103","103","100","97","97","106","111","102","93","86","108","112"
"SDP","6326","100","118","92","94","94","96","98","96","97","95","107","103","98","97"
"BAL","6264","93","90","100","99","97","95","92","99","96","100","102","96","99","107"
"TOR","6197","100","101","96","97","99","95","105","95","106","91","107","101","104","94"
"TEX","6214","95","118","97","97","101","94","107","100","103","95","104","96","102","103"
"STL","6211","92","89","100","99","93","94","81","99","100","103","97","100","98","103"
"CIN","6332","96","107","98","98","100","94","104","98","101","99","101","100","97","105"
"LAD","6282","92","84","101","98","93","94","80","99","99","108","91","94","104","104"
"HOU","6324","98","100","95","96","95","92","93","96","93","102","101","97","99","106"
"MIN","6161","97","82","98","97","92","91","83","95","92","114","88","93","104","105"
"CHC","6268","90","102","99","97","97","90","92","101","101","105","93","96","99","107"
"PIT","6214","84","111","96","95","94","90","91","100","98","99","102","97","102","103"
"WSN","6201","96","111","94","95","90","88","82","98","101","108","90","93","107","102"
"CHW","6103","102","113","91","94","95","86","103","91","94","100","102","104","94","101"
"KCR","6140","81","104","96","95","91","85","83","100","102","108","90","89","106","110"
"ARI","6101","99","111","92","94","95","82","100","93","93","97","106","102","99","97"
"SFG","6213","97","89","93","94","89","81","81","92","92","107","96","98","105","97"
