"Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"SEA","6518","107","103","103","105","109","112","117","102","","","","","",""
"CLE","6486","108","83","106","105","107","111","109","102","","","","","",""
"BAL","6494","104","90","99","100","106","106","118","93","","","","","",""
"CHW","6497","113","91","101","103","100","106","99","100","","","","","",""
"BOS","6545","102","99","102","103","103","104","103","102","","","","","",""
"TEX","6494","106","102","103","102","105","104","110","102","","","","","",""
"NYY","6414","103","90","104","103","98","103","88","104","","","","","",""
"OAK","6402","104","111","96","98","102","103","112","95","","","","","",""
"SDP","6419","105","96","98","100","95","101","90","99","","","","","",""
"ATL","6293","95","100","100","98","102","99","107","98","","","","","",""
"HOU","6270","99","103","97","99","94","98","88","100","","","","","",""
"MIL","6434","101","98","101","101","99","97","97","101","","","","","",""
"MIN","6403","94","96","104","102","96","97","82","107","","","","","",""
"CIN","6213","109","111","95","98","100","97","109","96","","","","","",""
"NYM","6220","80","105","100","96","98","94","94","102","","","","","",""
"CAL","6320","87","98","100","97","97","94","92","100","","","","","",""
"COL","6333","94","107","107","105","112","93","122","106","","","","","",""
"STL","6177","90","107","99","97","96","93","92","102","","","","","",""
"SFG","6316","109","115","94","98","92","92","89","98","","","","","",""
"MON","6171","90","106","97","96","96","92","95","99","","","","","",""
"FLA","6194","100","110","95","97","93","92","90","98","","","","","",""
"LAD","6185","94","117","93","93","91","91","87","97","","","","","",""
"TOR","6295","88","112","94","95","94","90","96","96","","","","","",""
"PIT","6336","90","95","99","97","97","90","93","99","","","","","",""
"CHC","6229","94","107","93","94","95","88","99","93","","","","","",""
"DET","6203","92","131","92","92","94","86","98","97","","","","","",""
"PHI","6171","98","108","95","96","92","85","86","98","","","","","",""
"KCR","6229","89","97","96","95","90","83","79","98","","","","","",""
